session,recipe,hidden_units,n_runs
20260622T011644452184,mcd_k192_100pcttime_20pct_baseline_conformal_v1,64,10
20260622T012659806080,mcd_k192_100pcttime_20pct_mse_capacity_hu04_conformal_v1,4,10
20260622T013801848421,mcd_k192_100pcttime_20pct_mse_capacity_hu08_conformal_v1,8,10
20260622T014852246638,mcd_k192_100pcttime_20pct_mse_capacity_hu16_conformal_v1,16,10
20260622T015935023613,mcd_k192_100pcttime_20pct_mse_capacity_hu32_conformal_v1,32,10
20260622T020956205576,mcd_k192_100pcttime_20pct_mse_capacity_hu96_conformal_v1,96,10
20260622T022019649682,mcd_k192_100pcttime_20pct_mse_capacity_hu128_conformal_v1,128,10
20260622T023033398796,mcd_k192_100pcttime_20pct_mse_capacity_hu256_conformal_v1,256,10
20260622T024057180628,mcd_k192_100pcttime_20pct_mse_capacity_hu384_conformal_v1,384,10
20260622T025125179386,mcd_k192_100pcttime_20pct_mse_capacity_hu512_conformal_v1,512,10
20260622T030252595819,mcd_k192_100pcttime_20pct_mse_capacity_hu768_conformal_v1,768,10
20260622T031417786742,mcd_k192_100pcttime_20pct_mse_capacity_hu1024_conformal_v1,1024,10
20260622T032618665289,mcd_k192_100pcttime_20pct_mse_capacity_hu1536_conformal_v1,1536,10
20260622T034037884160,mcd_k192_100pcttime_20pct_mse_capacity_hu2048_conformal_v1,2048,10
