model,seeds,rmse_m,rmse_sd_m,r2,nrmse_pct,train_s,test_s,total_s
64 (baseline),10,1335.051493943736,98.59789742111987,0.9341516915062253,13.696004342961157,17.41282760820177,0.31703509609797037,17.72986270429974
4,10,1679.674421823557,220.75176655631162,0.8942158837494187,17.249746299052475,22.185331641699303,0.3136879127996508,22.499019554498954
8,10,1512.2646201239327,112.59214933197761,0.9157929348565716,15.500239152782447,20.964419779001037,0.31525259160262065,21.279672370603656
16,10,1438.4150757383409,110.98587602142136,0.9235158559923751,14.761306090767205,20.165908758505246,0.31789763750566635,20.483806396010912
32,10,1401.7141943048227,122.24539716430209,0.9272780942043992,14.377988497795954,17.875102845893707,0.3172337915020762,18.192336637395783
96,10,1253.7342363956795,65.16767295512771,0.942014298780847,12.864105902054154,18.013715541703277,0.31649357080459595,18.330209112507873
128,10,1204.113588911719,95.18595716913217,0.9463839084960004,12.351791346514773,16.990873816804378,0.3176948293898022,17.308568646194182
256,10,1066.5602410060987,93.4951871389019,0.9579031843134643,10.939740545291135,17.86306042079814,0.3161425416939892,18.179202962492127
384,10,982.77291106893,53.773057902280165,0.9644450903000703,10.074197527273455,18.000661395897623,0.31951792920008304,18.320179325097705
512,10,958.5985867032177,80.57938285790982,0.9660335663642915,9.82715512859906,21.724275120699893,0.32911869170202407,22.053393812401918
768,10,920.7366522410703,87.89285539160512,0.9686074495150516,9.437994278584984,21.418635504302802,0.34353823789278976,21.762173742195593
1024,10,907.7613937504502,59.037371003574684,0.9695945693582555,9.309451367323174,23.907971845997963,0.34426602120220196,24.252237867200165
1536,10,876.142520490475,65.67846832377691,0.9716405875948994,8.982746319368887,33.70583996250061,0.41059298350301104,34.11643294600363
2048,10,881.4002171149623,59.265594339232095,0.9713297132862919,9.038974140923871,39.030977825098674,0.45595224970020354,39.48693007479888
