model,session,log
64 (baseline),20260622T011644452184,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_64_baseline.log
4,20260622T012659806080,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_4.log
8,20260622T013801848421,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_8.log
16,20260622T014852246638,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_16.log
32,20260622T015935023613,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_32.log
96,20260622T020956205576,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_96.log
128,20260622T022019649682,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_128.log
256,20260622T023033398796,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_256.log
384,20260622T024057180628,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_384.log
512,20260622T025125179386,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_512.log
768,20260622T030252595819,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_768.log
1024,20260622T031417786742,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_1024.log
1536,20260622T032618665289,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_1536.log
2048,20260622T034037884160,output/hidden_unit_sweeps/hidden_unit_sweep_20260622T011642Z/logs/model_2048.log
